Sample,0,1,2,3,4,5,6,7
7d,0.8667656490574314,0.8722452351642875,0.838804672810338,0.8433704571704568,0.8358580461871172,0.8585347628661455,0.8403599818972662,0.8468137242370362
12d,0.5891197733359161,0.5803249211564911,0.5728667413700759,0.5744154959764631,0.563134107751067,0.5550294081640286,0.5658110202687126,0.5632457776431192
17d,0.29784550280759814,0.28788555781717773,0.27614816415575305,0.2795042077201719,0.2831037233191953,0.28487204536680055,0.2711557773208848,0.2718613967428283
22d,0.13396803712161165,0.13169093967740997,0.12493256688970633,0.12669409472464044,0.1195140238045509,0.12494150571266593,0.12245835943070227,0.12982972519444202
27d,0.08718330980225097,0.09131232292010738,0.07912413661479478,0.08268035787545225,0.07716425771495494,0.08457353545375668,0.07792331840055722,0.08263829753759744
