Sample,0,1,2,3,4,5,6,7
7d,0.931041758222112,0.9341040160520387,0.9150826566508986,0.917727397305808,0.913367626087311,0.9264022316301073,0.9159853003587665,0.9197117844331321
12d,0.742568351957898,0.7352927301462069,0.7290458946215257,0.730348981598595,0.7207856187042602,0.7138114952529999,0.7230699406585953,0.7208811003863075
17d,0.4353647356142537,0.42175028635412226,0.40536010128638655,0.41008542775849444,0.4151187564646154,0.41757838007034737,0.3982721589822113,0.3992782503084349
22d,0.17143403272334762,0.16705924733786362,0.15393770365146411,0.15737770859132913,0.14326661352030542,0.15395519565766058,0.14908192213568494,0.16346624403198085
27d,0.07665314717706906,0.08545271370180949,0.0592189706380733,0.06695468574381068,0.05492657215523528,0.07104528245609122,0.056591489137029674,0.06686358927999572
