sample,E KDE,E Gauss,PR KDE,PR Gauss,SNA Epr mean,SNA Epr max
7d,92.9,92.4307,92.87330245537927,92.22547841048873,89.8,93.7
12d,73.98,72.7043,72.77307688979604,72.56079923872014,70.5,71.5
17d,42.68,42.2624,43.14029039621868,41.98399626724726,40.0,37.9
22d,17.740000000000002,18.1067,17.621842042565532,18.247879895233723,17.0,14.7
27d,8.260000000000002,8.3971,7.807773804098902,7.848008653850832,7.200000000000001,5.3
