CH,Donor DCR,Acceptor DCR
0,36.393737783590616,3678.539845614953
1,116.54330829071587,7202.881630116793
2,3774.5189878097494,78.15283473984319
3,566.9463933632084,901.3345513954355
4,29.226891806203554,1716.3821808362045
5,442.5591702289,4320.2274903959615
6,27.124685584839337,48.722462130764065
7,24.436732475804256,53.40740825209117
