sample,lk_gauss,lk_kde,num_bursts
7d,0.10146715424946029,0.10546097722750387,1396.0
12d,0.1003254762758824,0.10083663584324086,722.0
17d,0.10501389002459763,0.10497237569060773,1045.0
22d,0.09727327590936524,0.088139281828074,580.0
27d,0.08923918821181781,0.08672027820039122,401.0
mean,0.09866379693422467,0.09722590975796355,828.8
std,0.005951900348183408,0.009135049467519439,395.21475174897006
